EV Charging Report
Rocny report 2026

SUHRN
Pocet sessions,108
Celkova energia (kWh),972.79
Celkove naklady (EUR),136.24
Celkovy cas (min),12270.0
Priemerna cena (EUR/kWh),0.1401

PODLA POUZIVATELA
Pouzivatel,Sessions,Energia (kWh),Naklady (EUR),Cas (min)
mysan,104,930.16,130.1,11793.0
vojtesla,4,42.62,6.14,477.0

PODLA TARIFY
Tarifa,Sessions,Energia (kWh),Naklady (EUR)
T3,12,83.86,11.71
T2,29,296.61,47.28
T1,28,499.59,61.99
T4,39,92.72,15.27

DETAIL SESSIONS
Datum,Pouzivatel,Energia (kWh),Naklady (EUR),Tarifa,Trvanie (min)
2026-01-04 09:27,mysan,10.4,1.39,T3,101.0
2026-01-07 11:26,mysan,21.12,3.24,T2,202.0
2026-01-07 15:27,mysan,14.12,2.41,T2,159.0
2026-01-07 22:14,mysan,0.0,0.0,T1,0.0
2026-01-08 08:44,mysan,0.41,0.08,T3,18.0
2026-01-08 12:53,mysan,12.01,2.04,T2,177.0
2026-01-10 13:43,mysan,12.8,2.19,T2,123.0
2026-01-12 09:20,mysan,17.07,2.25,T3,173.0
2026-01-13 08:22,mysan,2.12,0.48,T4,20.0
2026-01-13 09:03,mysan,20.08,2.66,T3,194.0
2026-01-14 09:02,mysan,17.0,2.26,T3,199.0
2026-01-14 15:55,mysan,2.48,0.42,T2,95.0
2026-01-15 10:48,mysan,26.62,4.03,T2,324.0
2026-01-17 12:33,mysan,16.01,2.63,T2,153.0
2026-01-19 17:08,mysan,3.09,0.53,T2,30.0
2026-01-19 22:01,mysan,22.71,2.71,T1,296.0
2026-01-20 08:30,mysan,0.0,0.0,T4,0.0
2026-01-20 08:30,mysan,0.0,0.0,T4,0.0
2026-01-20 08:30,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.54,0.12,T4,13.0
2026-01-20 13:09,mysan,13.15,2.24,T2,153.0
2026-01-21 15:11,mysan,19.07,3.26,T2,185.0
2026-01-21 22:56,mysan,22.68,2.75,T1,283.0
2026-01-22 18:19,mysan,4.22,0.72,T4,40.0
2026-01-22 22:00,mysan,22.79,2.84,T4,494.0
2026-01-23 08:25,mysan,0.07,0.02,T4,3.0
2026-01-23 23:55,mysan,19.25,2.87,T4,494.0
2026-01-25 12:40,mysan,11.24,1.89,T2,129.0
2026-01-25 21:04,mysan,0.0,0.0,T4,1.0
2026-01-25 22:01,mysan,13.64,1.63,T1,171.0
2026-02-01 09:11,mysan,2.29,0.3,T3,26.0
2026-02-02 22:01,mysan,9.2,1.1,T1,90.0
2026-02-03 08:30,mysan,0.0,0.0,T4,0.0
2026-02-06 19:51,mysan,0.19,0.04,T4,3.0
2026-02-06 22:01,mysan,6.98,0.84,T1,68.0
2026-02-09 13:57,mysan,0.4,0.07,T2,4.0
2026-02-09 22:01,mysan,7.6,0.9,T1,75.0
2026-02-10 08:30,mysan,0.0,0.0,T4,0.0
2026-02-10 21:59,mysan,6.65,0.8,T1,166.0
2026-02-11 11:57,mysan,10.79,1.59,T2,108.0
2026-02-11 17:57,mysan,6.37,1.08,T4,62.0
2026-02-11 22:00,mysan,25.32,3.02,T1,313.0
2026-02-13 08:29,mysan,0.68,0.15,T4,16.0
2026-02-13 09:01,mysan,19.2,2.54,T2,252.0
2026-02-13 17:14,mysan,3.88,0.66,T2,38.0
2026-02-13 18:18,mysan,4.45,0.76,T4,41.0
2026-02-13 22:00,mysan,13.42,1.63,T1,191.0
2026-02-15 09:11,mysan,0.68,0.09,T3,27.0
2026-02-17 00:14,mysan,18.45,2.24,T1,261.0
2026-02-17 08:30,mysan,0.0,0.0,T4,0.0
2026-02-17 08:30,mysan,0.0,0.0,T4,0.0
2026-02-17 08:30,mysan,0.0,0.0,T4,0.0
2026-02-17 08:32,mysan,0.0,0.0,T4,0.0
2026-02-17 08:32,mysan,0.0,0.0,T4,0.0
2026-02-18 14:00,mysan,1.57,0.27,T2,134.0
2026-02-18 20:17,mysan,1.62,0.37,T4,15.0
2026-02-18 22:01,mysan,22.24,2.69,T1,283.0
2026-02-22 12:15,mysan,0.62,0.08,T3,7.0
2026-02-22 22:01,mysan,21.1,2.56,T1,279.0
2026-02-23 13:26,mysan,6.18,1.06,T2,121.0
2026-02-24 12:13,mysan,4.8,0.64,T3,46.0
2026-02-24 16:55,mysan,2.14,0.36,T2,21.0
2026-02-24 17:42,mysan,7.49,1.28,T2,72.0
2026-02-24 20:46,mysan,18.58,3.08,T1,238.0
2026-02-25 15:22,mysan,2.81,0.49,T2,88.0
2026-02-25 20:44,mysan,2.46,0.56,T4,24.0
2026-02-25 22:01,mysan,21.51,2.62,T1,261.0
2026-02-26 17:30,mysan,9.46,1.62,T4,90.0
2026-02-28 12:08,mysan,4.54,0.64,T2,137.0
2026-02-28 22:30,mysan,27.51,3.33,T1,319.0
2026-03-01 22:05,mysan,6.3,0.76,T1,127.0
2026-03-02 07:29,mysan,6.07,1.36,T3,118.0
2026-03-02 20:05,mysan,0.09,0.02,T4,2.0
2026-03-02 22:01,mysan,26.46,3.21,T1,311.0
2026-03-04 11:41,mysan,11.39,1.63,T2,109.0
2026-03-04 19:31,mysan,0.0,0.0,T4,0.0
2026-03-04 22:01,mysan,29.89,3.65,T1,352.0
2026-03-05 17:58,mysan,6.54,1.12,T4,62.0
2026-03-05 20:23,mysan,2.95,0.67,T4,29.0
2026-03-05 22:00,mysan,13.06,1.59,T1,180.0
2026-03-06 21:52,mysan,15.18,1.92,T1,208.0
2026-03-07 21:17,mysan,0.0,0.0,T4,1.0
2026-03-07 22:01,mysan,19.92,2.42,T1,249.0
2026-03-08 10:47,mysan,24.19,3.2,T2,133.0
2026-03-08 14:26,vojtesla,3.72,0.63,T2,40.0
2026-03-08 18:33,vojtesla,2.83,0.49,T4,27.0
2026-03-08 22:00,vojtesla,22.84,2.76,T1,284.0
2026-03-10 14:12,vojtesla,13.23,2.26,T2,126.0
2026-03-10 18:54,mysan,0.56,0.1,T4,5.0
2026-03-10 22:00,mysan,15.0,1.81,T1,202.0
2026-03-11 12:10,mysan,4.04,0.53,T3,39.0
2026-03-11 17:20,mysan,8.11,1.38,T2,76.0
2026-03-11 20:09,mysan,1.79,0.41,T4,18.0
2026-03-11 22:01,mysan,21.08,2.55,T1,215.0
2026-03-13 14:29,mysan,10.31,1.76,T2,98.0
2026-03-13 18:58,mysan,0.23,0.04,T4,1.0
2026-03-13 21:03,mysan,31.45,4.46,T1,357.0
2026-03-16 22:38,mysan,18.57,2.25,T1,249.0
2026-03-17 08:30,mysan,0.0,0.0,T4,0.0
2026-03-17 08:53,mysan,0.39,0.07,T3,12.0
2026-03-17 19:09,mysan,3.52,0.8,T4,34.0
2026-03-17 22:01,mysan,22.23,2.69,T1,278.0
2026-03-19 13:04,mysan,7.28,1.24,T2,103.0
2026-03-19 15:20,mysan,7.7,1.32,T2,122.0
