EV Charging Report
Mesacny report 2026-03

SUHRN
Pocet sessions,34
Celkova energia (kWh),356.93
Celkove naklady (EUR),49.11
Celkovy cas (min),4164.0
Priemerna cena (EUR/kWh),0.1376

PODLA POUZIVATELA
Pouzivatel,Sessions,Energia (kWh),Naklady (EUR),Cas (min)
mysan,30,314.31,42.97,3687.0
vojtesla,4,42.62,6.14,477.0

PODLA TARIFY
Tarifa,Sessions,Energia (kWh),Naklady (EUR)
T1,12,241.99,30.09
T3,3,10.51,1.96
T4,11,18.51,3.64
T2,8,85.92,13.43

DETAIL SESSIONS
Datum,Pouzivatel,Energia (kWh),Naklady (EUR),Tarifa,Trvanie (min)
2026-03-01 22:05,mysan,6.3,0.76,T1,127.0
2026-03-02 07:29,mysan,6.07,1.36,T3,118.0
2026-03-02 20:05,mysan,0.09,0.02,T4,2.0
2026-03-02 22:01,mysan,26.46,3.21,T1,311.0
2026-03-04 11:41,mysan,11.39,1.63,T2,109.0
2026-03-04 19:31,mysan,0.0,0.0,T4,0.0
2026-03-04 22:01,mysan,29.89,3.65,T1,352.0
2026-03-05 17:58,mysan,6.54,1.12,T4,62.0
2026-03-05 20:23,mysan,2.95,0.67,T4,29.0
2026-03-05 22:00,mysan,13.06,1.59,T1,180.0
2026-03-06 21:52,mysan,15.18,1.92,T1,208.0
2026-03-07 21:17,mysan,0.0,0.0,T4,1.0
2026-03-07 22:01,mysan,19.92,2.42,T1,249.0
2026-03-08 10:47,mysan,24.19,3.2,T2,133.0
2026-03-08 14:26,vojtesla,3.72,0.63,T2,40.0
2026-03-08 18:33,vojtesla,2.83,0.49,T4,27.0
2026-03-08 22:00,vojtesla,22.84,2.76,T1,284.0
2026-03-10 14:12,vojtesla,13.23,2.26,T2,126.0
2026-03-10 18:54,mysan,0.56,0.1,T4,5.0
2026-03-10 22:00,mysan,15.0,1.81,T1,202.0
2026-03-11 12:10,mysan,4.04,0.53,T3,39.0
2026-03-11 17:20,mysan,8.11,1.38,T2,76.0
2026-03-11 20:09,mysan,1.79,0.41,T4,18.0
2026-03-11 22:01,mysan,21.08,2.55,T1,215.0
2026-03-13 14:29,mysan,10.31,1.76,T2,98.0
2026-03-13 18:58,mysan,0.23,0.04,T4,1.0
2026-03-13 21:03,mysan,31.45,4.46,T1,357.0
2026-03-16 22:38,mysan,18.57,2.25,T1,249.0
2026-03-17 08:30,mysan,0.0,0.0,T4,0.0
2026-03-17 08:53,mysan,0.39,0.07,T3,12.0
2026-03-17 19:09,mysan,3.52,0.8,T4,34.0
2026-03-17 22:01,mysan,22.23,2.69,T1,278.0
2026-03-19 13:04,mysan,7.28,1.24,T2,103.0
2026-03-19 15:20,mysan,7.7,1.32,T2,122.0
