EV Charging Report
Vsetky sessions

SUHRN
Pocet sessions,140
Celkova energia (kWh),1232.74
Celkove naklady (EUR),170.27
Celkovy cas (min),15593.0
Priemerna cena (EUR/kWh),0.1381

PODLA POUZIVATELA
Pouzivatel,Sessions,Energia (kWh),Naklady (EUR),Cas (min)
mysan,134,1139.19,156.97,14829.0
walterpe,2,50.93,7.16,288.0
vojtesla,4,42.62,6.14,477.0

PODLA TARIFY
Tarifa,Sessions,Energia (kWh),Naklady (EUR)
T1,41,618.76,76.61
T2,36,391.77,59.97
T4,47,126.13,20.15
T3,16,96.08,13.54

DETAIL SESSIONS
Datum,Pouzivatel,Energia (kWh),Naklady (EUR),Tarifa,Trvanie (min)
2024-12-15 01:00,mysan,0.69,0.04,T1,30.0
2024-12-15 12:00,mysan,2.5,0.15,T2,30.0
2025-12-15 00:30,mysan,0.05,0.0,T1,2.0
2024-12-15 15:00,mysan,1.0,0.05,T1,30.0
2025-12-15 00:41,mysan,1.67,0.09,T1,102.0
2025-12-16 12:54,mysan,7.52,0.51,T2,115.0
2025-12-16 21:38,mysan,2.13,0.22,T4,21.0
2025-12-16 22:34,mysan,16.95,1.02,T1,161.0
2025-12-17 01:16,mysan,13.2,1.67,T1,190.0
2025-12-18 09:46,mysan,10.39,1.56,T3,153.0
2025-12-19 07:17,mysan,2.12,0.39,T4,93.0
2025-12-19 17:37,mysan,8.69,1.22,T4,83.0
2025-12-19 21:38,mysan,0.0,0.0,T4,1.0
2025-12-19 22:00,mysan,17.93,2.25,T1,170.0
2025-12-20 21:21,mysan,3.57,0.67,T4,35.0
2025-12-20 22:01,mysan,13.32,1.65,T1,238.0
2025-12-21 09:36,mysan,0.0,0.0,T3,0.0
2025-12-22 14:04,mysan,16.84,2.37,T4,296.0
2025-12-22 22:00,mysan,0.17,0.02,T1,3.0
2025-12-23 08:30,mysan,0.0,0.0,T4,0.0
2025-12-25 09:17,mysan,1.11,0.17,T3,20.0
2025-12-25 19:24,mysan,0.08,0.01,T4,1.0
2025-12-25 22:01,mysan,15.1,1.88,T1,226.0
2025-12-26 09:29,mysan,8.91,1.31,T2,213.0
2025-12-26 16:30,mysan,0.97,0.13,T2,17.0
2025-12-26 22:01,mysan,13.19,1.68,T1,155.0
2025-12-27 12:48,walterpe,37.18,5.24,T2,208.0
2025-12-27 16:48,walterpe,13.75,1.93,T2,79.0
2025-12-27 19:20,mysan,25.8,4.27,T1,317.0
2025-12-28 00:38,mysan,0.11,0.01,T1,24.0
2025-12-28 09:15,mysan,0.72,0.11,T3,26.0
2025-12-30 12:04,mysan,24.33,3.42,T2,284.0
2026-01-04 09:27,mysan,10.4,1.39,T3,101.0
2026-01-07 11:26,mysan,21.12,3.24,T2,202.0
2026-01-07 15:27,mysan,14.12,2.41,T2,159.0
2026-01-07 22:14,mysan,0.0,0.0,T1,0.0
2026-01-08 08:44,mysan,0.41,0.08,T3,18.0
2026-01-08 12:53,mysan,12.01,2.04,T2,177.0
2026-01-10 13:43,mysan,12.8,2.19,T2,123.0
2026-01-12 09:20,mysan,17.07,2.25,T3,173.0
2026-01-13 08:22,mysan,2.12,0.48,T4,20.0
2026-01-13 09:03,mysan,20.08,2.66,T3,194.0
2026-01-14 09:02,mysan,17.0,2.26,T3,199.0
2026-01-14 15:55,mysan,2.48,0.42,T2,95.0
2026-01-15 10:48,mysan,26.62,4.03,T2,324.0
2026-01-17 12:33,mysan,16.01,2.63,T2,153.0
2026-01-19 17:08,mysan,3.09,0.53,T2,30.0
2026-01-19 22:01,mysan,22.71,2.71,T1,296.0
2026-01-20 08:30,mysan,0.0,0.0,T4,0.0
2026-01-20 08:30,mysan,0.0,0.0,T4,0.0
2026-01-20 08:30,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.0,0.0,T4,0.0
2026-01-20 08:31,mysan,0.54,0.12,T4,13.0
2026-01-20 13:09,mysan,13.15,2.24,T2,153.0
2026-01-21 15:11,mysan,19.07,3.26,T2,185.0
2026-01-21 22:56,mysan,22.68,2.75,T1,283.0
2026-01-22 18:19,mysan,4.22,0.72,T4,40.0
2026-01-22 22:00,mysan,22.79,2.84,T4,494.0
2026-01-23 08:25,mysan,0.07,0.02,T4,3.0
2026-01-23 23:55,mysan,19.25,2.87,T4,494.0
2026-01-25 12:40,mysan,11.24,1.89,T2,129.0
2026-01-25 21:04,mysan,0.0,0.0,T4,1.0
2026-01-25 22:01,mysan,13.64,1.63,T1,171.0
2026-02-01 09:11,mysan,2.29,0.3,T3,26.0
2026-02-02 22:01,mysan,9.2,1.1,T1,90.0
2026-02-03 08:30,mysan,0.0,0.0,T4,0.0
2026-02-06 19:51,mysan,0.19,0.04,T4,3.0
2026-02-06 22:01,mysan,6.98,0.84,T1,68.0
2026-02-09 13:57,mysan,0.4,0.07,T2,4.0
2026-02-09 22:01,mysan,7.6,0.9,T1,75.0
2026-02-10 08:30,mysan,0.0,0.0,T4,0.0
2026-02-10 21:59,mysan,6.65,0.8,T1,166.0
2026-02-11 11:57,mysan,10.79,1.59,T2,108.0
2026-02-11 17:57,mysan,6.37,1.08,T4,62.0
2026-02-11 22:00,mysan,25.32,3.02,T1,313.0
2026-02-13 08:29,mysan,0.68,0.15,T4,16.0
