session_id,start_time,end_time,user,energy_kwh,cost_eur,tariff,stop_reason,duration_min
test123,2024-12-15 01:00:00,2024-12-15 01:30:00,mysan,0.689,0.038,T1,manual,30
test999,2024-12-15 12:00:00,2024-12-15 12:30:00,mysan,2.5,0.15,T2,test,30
20251215_003036,2025-12-15 00:30:36,2025-12-15 00:32:09,mysan,0.052,0.002,T1,completed,1.6
direct_test,2024-12-15 15:00:00,2024-12-15 15:30:00,mysan,1.0,0.05,T1,direct,30
20251215_004115,2025-12-15 00:41:15,2025-12-15 02:23:37,mysan,1.665,0.088,T1,manual,102.4
20251216_125421,2025-12-16 12:54:21,2025-12-16 14:49:36,mysan,7.516,0.513,T2,completed,115.3
20251216_213820,2025-12-16 21:38:20,2025-12-16 21:59:12,mysan,2.129,0.223,T4,completed,20.9
20251216_223431,2025-12-16 22:34:31,2025-12-17 01:15:19,mysan,16.945,1.023,T1,completed,160.8
20251217_011607,2025-12-17 01:16:07,2025-12-17 04:26:34,mysan,13.197,1.667,T1,manual,190.5
20251218_094648,2025-12-18 09:46:48,2025-12-18 12:20:10,mysan,10.395,1.556,T3,completed,153.4
20251219_071713,2025-12-19 07:17:13,2025-12-19 08:50:30,mysan,2.116,0.392,T4,manual,93.3
20251219_173713,2025-12-19 17:37:13,2025-12-19 19:00:01,mysan,8.691,1.218,T4,completed,82.8
20251219_213853,2025-12-19 21:38:53,2025-12-19 21:39:40,mysan,0.0,0.0,T4,completed,0.8
20251219_220003,2025-12-19 22:00:03,2025-12-20 00:49:40,mysan,17.927,2.249,T1,manual,169.6
20251220_212133,2025-12-20 21:21:33,2025-12-20 21:56:39,mysan,3.567,0.669,T4,completed,35.1
20251220_220103,2025-12-20 22:01:03,2025-12-21 01:59:19,mysan,13.317,1.645,T1,manual,238.3
20251221_093618,2025-12-21 09:36:18,2025-12-21 09:36:24,mysan,0.0,0.0,T3,manual,0.1
20251222_140420,2025-12-22 14:04:20,2025-12-22 19:00:01,mysan,16.835,2.366,T4,completed,295.7
20251222_220003,2025-12-22 22:00:03,2025-12-22 22:03:23,mysan,0.166,0.021,T1,manual,3.3
20251223_083025,2025-12-23 08:30:25,2025-12-23 08:30:26,mysan,0.0,0.0,T4,manual,0.0
20251225_091730,2025-12-25 09:17:30,2025-12-25 09:37:22,mysan,1.106,0.167,T3,completed,19.9
20251225_192422,2025-12-25 19:24:22,2025-12-25 19:25:32,mysan,0.077,0.014,T4,completed,1.2
20251225_220103,2025-12-25 22:01:03,2025-12-26 01:46:40,mysan,15.101,1.877,T1,manual,225.6
20251226_092958,2025-12-26 09:29:58,2025-12-26 13:02:51,mysan,8.913,1.308,T2,completed,212.9
20251226_163027,2025-12-26 16:30:27,2025-12-26 16:47:21,mysan,0.97,0.133,T2,completed,16.9
20251226_220103,2025-12-26 22:01:03,2025-12-27 00:35:43,mysan,13.193,1.682,T1,manual,154.7
20251227_124846,2025-12-27 12:48:46,2025-12-27 16:17:04,walterpe,37.179,5.235,T2,manual,208.3
20251227_164824,2025-12-27 16:48:24,2025-12-27 18:07:50,walterpe,13.747,1.926,T2,manual,79.4
20251227_192031,2025-12-27 19:20:31,2025-12-28 00:37:08,mysan,25.795,4.267,T1,manual,316.6
20251228_003827,2025-12-28 00:38:27,2025-12-28 01:02:24,mysan,0.114,0.015,T1,manual,24.0
20251228_091557,2025-12-28 09:15:57,2025-12-28 09:41:34,mysan,0.717,0.107,T3,completed,25.6
20251230_120458,2025-12-30 12:04:58,2025-12-30 16:48:44,mysan,24.33,3.424,T2,completed,283.8
20260104_092750,2026-01-04 09:27:50,2026-01-04 11:08:34,mysan,10.398,1.388,T3,completed,100.7
20260107_112604,2026-01-07 11:26:04,2026-01-07 14:48:00,mysan,21.124,3.243,T2,completed,201.9
20260107_152717,2026-01-07 15:27:17,2026-01-07 18:05:56,mysan,14.122,2.414,T2,completed,158.7
20260107_221447,2026-01-07 22:14:47,2026-01-07 22:14:59,mysan,0.0,0.0,T1,manual,0.2
20260108_084452,2026-01-08 08:44:52,2026-01-08 09:03:14,mysan,0.406,0.081,T3,completed,18.4
20260108_125309,2026-01-08 12:53:09,2026-01-08 15:50:19,mysan,12.007,2.037,T2,completed,177.2
20260110_134348,2026-01-10 13:43:48,2026-01-10 15:46:48,mysan,12.798,2.19,T2,manual,123.0
20260112_092055,2026-01-12 09:20:55,2026-01-12 12:13:44,mysan,17.07,2.252,T3,completed,172.8
20260113_082220,2026-01-13 08:22:20,2026-01-13 08:42:47,mysan,2.125,0.478,T4,completed,20.5
20260113_090325,2026-01-13 09:03:25,2026-01-13 12:17:05,mysan,20.079,2.663,T3,completed,193.7
20260114_090227,2026-01-14 09:02:27,2026-01-14 12:21:26,mysan,17.005,2.256,T3,completed,199.0
20260114_155505,2026-01-14 15:55:05,2026-01-14 17:30:03,mysan,2.483,0.423,T2,completed,95.0
20260115_104845,2026-01-15 10:48:45,2026-01-15 16:12:12,mysan,26.616,4.031,T2,manual,323.5
20260117_123355,2026-01-17 12:33:55,2026-01-17 15:06:31,mysan,16.007,2.627,T2,completed,152.6
20260119_170808,2026-01-19 17:08:08,2026-01-19 17:37:47,mysan,3.087,0.529,T2,completed,29.7
20260119_220104,2026-01-19 22:01:04,2026-01-20 02:57:08,mysan,22.715,2.713,T1,manual,296.1
20260120_083008,2026-01-20 08:30:08,2026-01-20 08:30:09,mysan,0.0,0.0,T4,manual,0.0
20260120_083028,2026-01-20 08:30:28,2026-01-20 08:30:29,mysan,0.0,0.0,T4,manual,0.0
20260120_083048,2026-01-20 08:30:48,2026-01-20 08:30:49,mysan,0.0,0.0,T4,manual,0.0
20260120_083108,2026-01-20 08:31:08,2026-01-20 08:31:09,mysan,0.0,0.0,T4,manual,0.0
